1696237915141:g0x;g0y;g0z;a0y;a0p;a0r:g1x;g1y;g1z;a1y;a1p;a1r:g2x;g2y;g2z;a2y;a2p;a2r:g3x;g3y;g3z;a3y;a3p;a3r:g4x;g4y;g4z;a4y;a4p;a4r:g5x;g5y;g5z;a5y;a5p;a5r
40635:-113.00;-472.00;-548.00;0.62;0.91;0.13:469.00;-303.00;-1092.00;0.17;-0.12;0.76:-17.00;-184.00;-539.00;0.04;-0.28;0.54:-214.00;89.00;-455.00;0.11;-0.23;0.61:22.00;320.00;-718.00;-0.13;-0.41;0.47:-358.00;-735.00;536.00;0.02;0.09;0.09:
40695:266.00;-462.00;-81.00;0.66;0.90;0.24:1253.00;1983.00;1071.00;0.17;-0.08;0.83:302.00;2581.00;2367.00;0.04;-0.26;0.54:-92.00;1892.00;1019.00;0.09;-0.22;0.59:-217.00;1184.00;536.00;-0.17;-0.41;0.43:32.00;-806.00;587.00;0.02;0.10;0.08:
40755:537.00;425.00;251.00;0.64;0.91;0.23:1877.00;3352.00;2506.00;0.15;-0.10;0.80:326.00;1413.00;760.00;0.02;-0.27;0.52:9.00;907.00;269.00;0.09;-0.24;0.58:-32.00;661.00;328.00;-0.16;-0.43;0.42:-127.00;-706.00;559.00;0.00;0.11;0.13:
40815:400.00;435.00;85.00;0.61;0.92;0.13:686.00;422.00;-1057.00;0.13;-0.19;0.75:327.00;405.00;57.00;0.03;-0.32;0.53:118.00;91.00;-32.00;0.13;-0.29;0.60:274.00;-257.00;-305.00;-0.11;-0.48;0.45:7.00;103.00;-474.00;-0.02;0.11;0.19:
40875:-790.00;448.00;-285.00;0.56;0.91;0.01:-872.00;-1334.00;-1484.00;0.13;-0.26;0.71:-442.00;-974.00;-503.00;0.04;-0.37;0.55:-613.00;-975.00;-260.00;0.16;-0.33;0.62:-189.00;-748.00;-353.00;-0.07;-0.50;0.48:188.00;617.00;-601.00;-0.02;0.11;0.22:
40935:-1213.00;-208.00;-443.00;0.56;0.92;-0.03:-133.00;-1497.00;-1078.00;0.14;-0.28;0.69:29.00;-730.00;-218.00;0.05;-0.38;0.56:50.00;-492.00;-36.00;0.17;-0.33;0.64:470.00;-250.00;-111.00;-0.05;-0.49;0.51:-293.00;243.00;-354.00;-0.02;0.10;0.22:
40995:47.00;-181.00;-280.00;0.56;0.94;-0.03:286.00;-371.00;-50.00;0.13;-0.26;0.72:174.00;-109.00;184.00;0.04;-0.37;0.58:-109.00;-76.00;224.00;0.16;-0.32;0.67:-299.00;-7804.00;15221.00;-0.86;0.59;-1.06:-23.00;179.00;-331.00;-0.02;0.11;0.22:
41055:-518.00;124.00;-89.00;0.57;0.93;0.00:-1547.00;-1084.00;-597.00;0.13;-0.25;0.73:-896.00;-372.00;360.00;0.05;-0.36;0.58:-976.00;-553.00;250.00;0.16;-0.32;0.65:-303.00;-498.00;-39.00;-0.05;-0.48;0.52:125.00;779.00;-670.00;-0.01;0.11;0.18:
41105:-762.00;41.00;-121.00;0.61;0.91;0.09:-1112.00;-448.00;-1382.00;0.17;-0.16;0.67:-813.00;-68.00;-519.00;0.04;-0.31;0.52:-420.00;304.00;-85.00;0.14;-0.28;0.60:-19.00;545.00;92.00;-0.10;-0.44;0.47:50.00;492.00;19.00;0.02;0.10;0.13:
41166:-36.00;-499.00;-338.00;0.65;0.90;0.17:2610.00;-1778.00;-3370.00;0.19;-0.09;0.77:1050.00;127.00;-521.00;0.04;-0.26;0.51:913.00;418.00;-355.00;0.11;-0.23;0.58:459.00;536.00;-379.00;-0.16;-0.41;0.42:-635.00;-707.00;998.00;0.02;0.09;0.10:
41236:670.00;579.00;278.00;0.63;0.90;0.19:2072.00;3380.00;2695.00;0.16;-0.09;0.85:50.00;1798.00;1078.00;0.03;-0.26;0.52:-251.00;910.00;81.00;0.11;-0.25;0.58:-285.00;410.00;-180.00;-0.16;-0.45;0.42:-20417.00;-52.00;21840.00;3.00;-0.05;-0.82:
41276:302.00;544.00;100.00;0.61;0.91;0.10:1104.00;-29.00;-1714.00;0.14;-0.17;0.76:77.00;140.00;-149.00;0.04;-0.32;0.53:98.00;2.00;-64.00;0.14;-0.29;0.60:329.00;56.00;-111.00;-0.12;-0.48;0.43:9.00;17.00;-327.00;-0.00;0.11;0.19:
41316:-511.00;-75.00;-535.00;0.58;0.91;0.03:-523.00;-990.00;-1303.00;0.14;-0.23;0.75:330.00;-570.00;-186.00;0.04;-0.34;0.54:54.00;-601.00;-108.00;0.15;-0.31;0.61:227.00;-479.00;-287.00;-0.10;-0.49;0.45:3.00;466.00;-542.00;-0.01;0.10;0.22:
41376:-1000.00;-115.00;-460.00;0.55;0.91;-0.01:-648.00;-1657.00;-1322.00;0.14;-0.26;0.74:-175.00;-895.00;-295.00;0.04;-0.35;0.55:-292.00;-617.00;-33.00;0.16;-0.32;0.62:18179.00;-32669.00;-3293.00;-2.65;-0.13;-0.64:8.00;355.00;-341.00;-0.02;0.10;0.23:
41416:-530.00;168.00;-10.00;0.53;0.92;-0.02:-289.00;-511.00;-229.00;0.14;-0.26;0.75:-249.00;-226.00;133.00;0.04;-0.36;0.57:-338.00;-293.00;20.00;0.16;-0.32;0.64:0.00;-251.00;-66.00;-0.08;-0.49;0.49:-86.00;211.00;-280.00;-0.02;0.10;0.23:
41456:-524.00;153.00;-217.00;0.53;0.93;-0.01:-314.00;-543.00;-540.00;0.14;-0.26;0.77:-394.00;-191.00;-182.00;0.05;-0.36;0.58:-645.00;-9.00;56.00;0.17;-0.33;0.65:-365.00;-210.00;-132.00;-0.06;-0.50;0.50:21.00;8.00;-70.00;-0.02;0.10;0.24:
41496:133.00;277.00;144.00;0.54;0.93;-0.00:-920.00;72.00;-440.00;0.16;-0.26;0.81:-1017.00;605.00;405.00;0.07;-0.36;0.59:-982.00;479.00;364.00;0.20;-0.34;0.65:-673.00;244.00;383.00;-0.03;-0.50;0.51:201.00;-81.00;118.00;-0.01;0.10;0.25:
41536:138.00;126.00;-133.00;0.52;0.93;-0.01:-280.00;289.00;495.00;0.18;-0.25;0.85:-195.00;-49.00;-3.00;0.09;-0.36;0.59:59.00;-215.00;-159.00;0.24;-0.35;0.65:149.00;-250.00;-332.00;-0.00;-0.50;0.51:-130.00;160.00;-372.00;0.00;0.11;0.26:
41576:-1238.00;218.00;-306.00;0.51;0.92;0.00:360.00;-460.00;324.00;0.20;-0.25;0.85:370.00;-452.00;-22.00;0.12;-0.36;0.59:362.00;-267.00;64.00;0.27;-0.36;0.65:351.00;-263.00;-109.00;0.03;-0.51;0.51:-329.00;320.00;-501.00;0.01;0.11;0.25:
41616:-1779.00;408.00;-59.00;0.55;0.92;0.06:164.00;-238.00;664.00;0.22;-0.27;0.84:118.00;-144.00;553.00;0.14;-0.37;0.59:252.00;275.00;567.00;0.29;-0.36;0.63:259.00;332.00;429.00;0.03;-0.50;0.49:-119.00;466.00;-493.00;0.03;0.13;0.23:
41656:-1100.00;-246.00;-361.00;0.66;0.95;0.14:442.00;-350.00;88.00;0.23;-0.28;0.80:413.00;21.00;368.00;0.14;-0.36;0.56:662.00;199.00;103.00;0.29;-0.35;0.60:649.00;246.00;-124.00;-0.01;-0.48;0.45:-389.00;567.00;-488.00;0.04;0.14;0.20:
41696:-2632.00;-1185.00;-1899.00;0.85;0.99;0.31:1011.00;-909.00;-438.00;0.24;-0.28;0.78:1085.00;-310.00;-383.00;0.13;-0.36;0.54:940.00;291.00;-333.00;0.27;-0.34;0.56:514.00;243.00;-478.00;-0.05;-0.47;0.41:-404.00;163.00;76.00;0.04;0.16;0.17:
41736:354.00;119.00;378.00;1.04;1.03;0.48:375.00;2474.00;1454.00;0.25;-0.30;0.80:-256.00;2033.00;1390.00;0.14;-0.37;0.54:-55.00;1908.00;931.00;0.28;-0.36;0.55:-302.00;1125.00;799.00;-0.07;-0.49;0.39:-147.00;-741.00;607.00;0.03;0.19;0.17:
41776:698.00;143.00;-483.00;1.10;1.02;0.53:367.00;1098.00;58.00;0.25;-0.32;0.77:76.00;705.00;-131.00;0.14;-0.39;0.52:177.00;383.00;-464.00;0.30;-0.39;0.54:-253.00;243.00;-399.00;-0.06;-0.51;0.38:224.00;-138.00;-163.00;0.03;0.20;0.19:
41816:1093.00;410.00;601.00;1.09;1.00;0.48:-328.00;-171.00;-645.00;0.25;-0.34;0.75:-407.00;-27.00;-212.00;0.14;-0.41;0.53:-368.00;136.00;-18.00;0.30;-0.40;0.55:-306.00;-31.00;-78.00;-0.05;-0.51;0.38:194.00;144.00;-150.00;0.02;0.19;0.20:
41856:1178.00;459.00;53.00;0.97;0.99;0.35:-227.00;-553.00;-482.00;0.25;-0.35;0.73:-106.00;-261.00;-77.00;0.14;-0.42;0.53:255.00;-40.00;-7.00;0.30;-0.40;0.56:137.00;-103.00;-115.00;-0.04;-0.51;0.39:13.00;277.00;-226.00;0.02;0.18;0.21:
41896:-67.00;-320.00;-1155.00;0.82;0.95;0.23:474.00;-704.00;-381.00;0.24;-0.34;0.73:482.00;-153.00;28.00;0.13;-0.41;0.54:608.00;19.00;-33.00;0.28;-0.38;0.58:467.00;-26.00;-105.00;-0.04;-0.51;0.41:-116.00;159.00;-185.00;0.02;0.16;0.21:
41936:-1807.00;261.00;-1030.00;0.69;0.92;0.18:197.00;-421.00;-91.00;0.22;-0.32;0.75:166.00;-314.00;-57.00;0.12;-0.40;0.56:48.00;-367.00;-134.00;0.27;-0.38;0.61:164.00;-483.00;-386.00;-0.03;-0.51;0.44:-135.00;202.00;-328.00;0.01;0.16;0.22:
41986:-607.00;196.00;-158.00;0.68;0.92;0.17:-353.00;-58.00;-6.00;0.21;-0.32;0.77:-512.00;179.00;353.00;0.12;-0.41;0.58:-480.00;372.00;450.00;0.26;-0.37;0.64:-432.00;123.00;335.00;-0.01;-0.51;0.48:244.00;65.00;-52.00;0.00;0.16;0.22:
42026:-190.00;38.00;-178.00;0.66;0.93;0.15:-261.00;-17.00;-95.00;0.20;-0.31;0.77:-315.00;64.00;72.00;0.11;-0.40;0.59:-214.00;-51.00;-18.00;0.25;-0.36;0.65:-22.00;-93.00;-49.00;-0.01;-0.50;0.50:-20.00;69.00;-136.00;0.00;0.14;0.22:
42066:-600.00;226.00;-212.00;0.64;0.93;0.14:-63.00;-351.00;-225.00;0.20;-0.30;0.79:-82.00;-219.00;-47.00;0.11;-0.39;0.61:-117.00;-144.00;97.00;0.25;-0.36;0.67:144.00;-128.00;-15.00;-0.00;-0.50;0.51:-139.00;117.00;-233.00;0.00;0.14;0.23:
42106:-411.00;78.00;-94.00;0.65;0.94;0.15:1.00;111.00;268.00;0.20;-0.29;0.80:-80.00;381.00;543.00;0.11;-0.39;0.62:-93.00;503.00;540.00;0.25;-0.36;0.68:-28.00;285.00;297.00;-0.00;-0.50;0.52:-45.00;-34.00;-43.00;-0.00;0.14;0.22:
42146:-25.00;359.00;266.00;0.66;0.94;0.15:-182.00;266.00;102.00;0.19;-0.29;0.80:-253.00;217.00;171.00;0.11;-0.39;0.62:-221.00;12.00;-15.00;0.25;-0.36;0.67:-34.00;-56.00;-140.00;-0.00;-0.50;0.51:-138.00;79.00;-178.00;0.00;0.14;0.23:
42186:-293.00;34.00;-279.00;0.68;0.94;0.15:194.00;-351.00;-210.00;0.20;-0.29;0.80:129.00;-29.00;26.00;0.12;-0.39;0.62:143.00;216.00;227.00;0.25;-0.36;0.67:152.00;199.00;104.00;-0.00;-0.50;0.51:-61.00;112.00;-195.00;0.00;0.14;0.23:
42226:-632.00;-42.00;-227.00;0.70;0.94;0.16:24.00;135.00;350.00;0.20;-0.29;0.80:-75.00;171.00;405.00;0.12;-0.39;0.62:-157.00;95.00;219.00;0.25;-0.36;0.67:-3.00;-60.00;-45.00;-0.01;-0.50;0.50:-89.00;202.00;-167.00;0.00;0.14;0.23:
42266:-485.00;-12.00;-161.00;0.74;0.94;0.18:-8.00;-135.00;-84.00;0.20;-0.29;0.79:-76.00;31.00;96.00;0.12;-0.39;0.61:-76.00;217.00;212.00;0.25;-0.36;0.66:26.00;191.00;105.00;-0.02;-0.50;0.49:-62.00;93.00;-198.00;0.00;0.14;0.23:
42306:-190.00;-104.00;-220.00;0.79;0.95;0.20:68.00;55.00;-20.00;0.20;-0.30;0.78:-45.00;267.00;176.00;0.11;-0.39;0.60:-39.00;212.00;-2.00;0.24;-0.36;0.65:70.00;150.00;-99.00;-0.04;-0.50;0.47:-127.00;40.00;-81.00;0.01;0.14;0.23:
42346:118.00;112.00;75.00;0.83;0.96;0.22:-5.00;-50.00;-158.00;0.20;-0.30;0.78:-93.00;60.00;-16.00;0.11;-0.39;0.60:-121.00;112.00;20.00;0.24;-0.36;0.63:16.00;106.00;-14.00;-0.05;-0.50;0.46:-143.00;133.00;-53.00;0.01;0.15;0.23:
42386:-1945.00;-559.00;-1253.00;0.90;0.97;0.26:122.00;-425.00;-410.00;0.21;-0.30;0.78:-17.00;-70.00;-149.00;0.12;-0.39;0.60:-107.00;283.00;101.00;0.23;-0.35;0.62:-121.00;405.00;148.00;-0.07;-0.50;0.44:361.00;184.00;-240.00;0.01;0.15;0.23:
42426:210.00;-493.00;-131.00;1.05;1.03;0.43:-429.00;-596.00;-713.00;0.20;-0.29;0.80:-664.00;133.00;-21.00;0.11;-0.38;0.61:-845.00;162.00;-78.00;0.22;-0.34;0.62:-632.00;-119.00;-357.00;-0.09;-0.49;0.42:137.00;-123.00;378.00;0.02;0.14;0.23:
42466:695.00;313.00;509.00;1.10;1.03;0.46:-847.00;1702.00;1263.00;0.21;-0.29;0.81:-807.00;1037.00;848.00;0.12;-0.38;0.61:-471.00;812.00;556.00;0.24;-0.34;0.61:-439.00;361.00;214.00;-0.08;-0.49;0.41:144.00;-193.00;118.00;0.03;0.13;0.24:
42506:716.00;389.00;508.00;1.11;1.04;0.42:113.00;226.00;-173.00;0.21;-0.28;0.78:-37.00;299.00;-50.00;0.12;-0.37;0.59:135.00;197.00;-242.00;0.25;-0.34;0.59:25.00;170.00;-332.00;-0.08;-0.48;0.39:-77.00;-148.00;-133.00;0.04;0.12;0.27:
42546:1138.00;364.00;-75.00;1.07;1.05;0.33:472.00;-237.00;-437.00;0.21;-0.27;0.78:439.00;103.00;-206.00;0.12;-0.36;0.58:528.00;160.00;-247.00;0.25;-0.33;0.60:339.00;145.00;-315.00;-0.06;-0.48;0.39:-219.00;-163.00;-95.00;0.04;0.11;0.29:
42586:453.00;109.00;-831.00;0.95;1.03;0.19:594.00;-166.00;15.00;0.20;-0.26;0.78:493.00;131.00;181.00;0.12;-0.35;0.58:395.00;126.00;130.00;0.24;-0.32;0.61:372.00;37.00;-43.00;-0.05;-0.47;0.40:-122.00;5.00;-160.00;0.05;0.09;0.31:
42626:-1165.00;249.00;-729.00;0.85;1.01;0.10:15.00;-85.00;185.00;0.19;-0.25;0.78:-31.00;-154.00;134.00;0.11;-0.35;0.59:-118.00;-366.00;-6.00;0.24;-0.33;0.62:93.00;-417.00;-235.00;-0.04;-0.48;0.42:-60.00;256.00;-286.00;0.05;0.09;0.33:
42666:-1068.00;37.00;-361.00;0.84;1.01;0.07:-62.00;-721.00;-215.00;0.18;-0.25;0.77:39.00;-546.00;-148.00;0.11;-0.35;0.59:128.00;-265.00;118.00;0.24;-0.32;0.63:315.00;-53.00;68.00;-0.03;-0.47;0.43:-42.00;223.00;-396.00;0.05;0.08;0.34:
42707:-829.00;232.00;-171.00;0.83;1.01;0.06:-45.00;-268.00;-150.00;0.17;-0.24;0.78:-175.00;-15.00;152.00;0.11;-0.34;0.60:-284.00;132.00;207.00;0.23;-0.32;0.64:-48.00;-6.00;17.00;-0.04;-0.47;0.44:-235.00;-125.00;-55.00;0.06;0.07;0.34:
42746:219.00;300.00;28.00;0.84;1.01;0.05:-12.00;585.00;335.00;0.18;-0.24;0.78:-55.00;554.00;456.00;0.11;-0.35;0.60:28.00;478.00;354.00;0.24;-0.32;0.63:69.00;305.00;197.00;-0.04;-0.48;0.43:-130.00;-83.00;-4.00;0.06;0.08;0.35:
42787:-53.00;-173.00;-380.00;0.83;1.00;0.03:257.00;-30.00;64.00;0.18;-0.24;0.77:170.00;83.00;187.00;0.11;-0.35;0.59:128.00;-52.00;20.00;0.24;-0.32;0.63:238.00;-31.00;-115.00;-0.04;-0.48;0.42:-46.00;178.00;-334.00;0.06;0.08;0.36:
42826:-665.00;-133.00;-352.00;0.82;1.00;0.03:16.00;-514.00;-147.00;0.17;-0.24;0.76:27.00;-360.00;-46.00;0.10;-0.35;0.59:-99.00;-267.00;-57.00;0.23;-0.33;0.63:53.00;-290.00;-289.00;-0.05;-0.49;0.42:-22.00;266.00;-288.00;0.06;0.08;0.36:
42867:-215.00;25.00;14.00;0.82;0.99;0.04:-165.00;174.00;32.00;0.17;-0.24;0.75:-238.00;350.00;302.00;0.10;-0.35;0.59:-267.00;516.00;309.00;0.22;-0.32;0.62:-213.00;344.00;276.00;-0.05;-0.49;0.42:33.00;-72.00;103.00;0.05;0.07;0.36:
42907:104.00;95.00;-104.00;0.82;0.99;0.03:-63.00;396.00;-26.00;0.16;-0.24;0.74:-204.00;381.00;170.00;0.09;-0.35;0.58:-207.00;126.00;7.00;0.22;-0.33;0.61:-59.00;-4.00;-142.00;-0.06;-0.49;0.41:-101.00;5.00;-125.00;0.05;0.07;0.37:
42947:-374.00;100.00;-279.00;0.81;0.99;0.02:0.00;-390.00;-468.00;0.17;-0.24;0.73:-25.00;-162.00;-165.00;0.09;-0.35;0.58:65.00;13.00;-28.00;0.22;-0.33;0.61:158.00;46.00;-135.00;-0.05;-0.49;0.41:-40.00;60.00;-247.00;0.05;0.07;0.37:
42987:-345.00;-152.00;-373.00;0.81;0.99;0.02:190.00;-29.00;33.00;0.16;-0.24;0.74:74.00;263.00;273.00;0.09;-0.35;0.57:-15.00;278.00;225.00;0.22;-0.33;0.61:88.00;134.00;39.00;-0.06;-0.49;0.41:-105.00;7.00;-8.00;0.05;0.07;0.38:
43027:-11.00;136.00;28.00;0.81;0.99;0.03:-145.00;364.00;160.00;0.16;-0.25;0.73:-249.00;305.00;215.00;0.09;-0.36;0.57:-229.00;185.00;71.00;0.22;-0.34;0.60:-1.00;143.00;95.00;-0.06;-0.50;0.40:-167.00;-35.00;-27.00;0.05;0.07;0.38:
43067:46.00;31.00;-57.00;0.81;0.98;0.03:237.00;33.00;12.00;0.17;-0.25;0.72:217.00;135.00;152.00;0.09;-0.36;0.56:-6984.00;20609.00;-9463.00;0.32;0.45;0.53:261.00;70.00;10.00;-0.06;-0.51;0.40:-153.00;113.00;-236.00;0.04;0.08;0.39:
43107:-513.00;63.00;-91.00;0.81;0.97;0.02:-81.00;-369.00;-154.00;0.17;-0.26;0.72:-98.00;-181.00;86.00;0.09;-0.37;0.55:-112.00;-183.00;10.00;0.23;-0.36;0.58:12.00;-213.00;-201.00;-0.06;-0.52;0.39:-13.00;257.00;-324.00;0.04;0.08;0.39:
43147:-853.00;-235.00;-451.00;0.82;0.97;0.03:64.00;-437.00;-136.00;0.18;-0.27;0.72:61.00;-212.00;22.00;0.09;-0.37;0.55:-31027.00;15211.00;-9423.00;-2.88;-0.28;-0.68:106.00;12.00;-39.00;-0.07;-0.52;0.39:44.00;227.00;-365.00;0.04;0.08;0.39:
43187:-1161.00;-385.00;-659.00;0.86;0.98;0.08:69.00;-324.00;-189.00;0.17;-0.27;0.71:-58.00;-50.00;67.00;0.08;-0.37;0.55:-128.00;28.00;101.00;0.22;-0.35;0.58:58.00;9.00;-14.00;-0.08;-0.52;0.39:-24.00;238.00;-252.00;0.03;0.08;0.38:
43217:-1391.00;-644.00;-1256.00;0.97;1.01;0.24:-131.00;-394.00;-219.00;0.17;-0.27;0.72:-172.00;-144.00;-14.00;0.08;-0.37;0.54:-243.00;-97.00;9.00;0.21;-0.35;0.57:-43.00;-150.00;-216.00;-0.09;-0.51;0.39:-38.00;242.00;-337.00;0.03;0.08;0.36:
43247:843.00;190.00;848.00;1.03;1.02;0.37:-100.00;-69.00;-375.00;0.18;-0.27;0.72:-223.00;273.00;76.00;0.07;-0.37;0.54:-270.00;169.00;-26.00;0.20;-0.35;0.57:-179.00;24.00;-145.00;-0.10;-0.51;0.39:-154.00;-33.00;109.00;0.03;0.09;0.35:
43277:1710.00;785.00;1590.00;1.06;1.02;0.39:-256.00;1295.00;664.00;0.18;-0.27;0.73:-515.00;979.00;547.00;0.08;-0.38;0.54:-495.00;785.00;423.00;0.21;-0.36;0.56:-407.00;356.00;289.00;-0.09;-0.52;0.39:-250.00;-335.00;442.00;0.03;0.09;0.35:
43307:1691.00;781.00;649.00;1.05;1.01;0.34:-69.00;1250.00;453.00;0.19;-0.28;0.72:-272.00;900.00;381.00;0.09;-0.39;0.53:-193.00;823.00;336.00;0.24;-0.38;0.55:-164.00;551.00;373.00;-0.08;-0.53;0.38:-123.00;-323.00;138.00;0.03;0.10;0.36:
43347:-988.00;232.00;-865.00;0.99;0.98;0.26:53.00;-363.00;-555.00;0.20;-0.29;0.71:8.00;-181.00;-248.00;0.10;-0.40;0.53:28.00;-121.00;-233.00;0.26;-0.39;0.54:120.00;-94.00;-323.00;-0.07;-0.54;0.37:40.00;137.00;-494.00;0.03;0.11;0.37:
43377:-1294.00;-53.00;-690.00;1.00;0.98;0.25:-106.00;-930.00;-704.00;0.22;-0.30;0.70:-15.00;-613.00;-362.00;0.11;-0.40;0.52:30.00;-483.00;-337.00;0.28;-0.40;0.54:136.00;-407.00;-535.00;-0.06;-0.54;0.37:-72.00;370.00;-467.00;0.04;0.11;0.37:
43407:-436.00;-240.00;-295.00;1.01;0.97;0.26:220.00;-507.00;-107.00;0.23;-0.30;0.71:261.00;-144.00;174.00;0.13;-0.41;0.53:371.00;70.00;143.00;0.29;-0.40;0.54:285.00;3.00;-68.00;-0.05;-0.55;0.37:-135.00;271.00;-245.00;0.03;0.12;0.36:
43437:142.00;-471.00;-448.00;1.01;0.96;0.27:563.00;-205.00;256.00;0.23;-0.31;0.71:469.00;32.00;352.00;0.13;-0.41;0.53:547.00;159.00;216.00;0.29;-0.40;0.54:449.00;33.00;49.00;-0.05;-0.55;0.37:-240.00;251.00;-190.00;0.03;0.12;0.36:
43467:96.00;-202.00;-333.00;1.00;0.95;0.27:271.00;-267.00;18.00;0.23;-0.31;0.72:171.00;-66.00;144.00;0.13;-0.41;0.53:185.00;101.00;166.00;0.29;-0.41;0.54:140.00;-40.00;5.00;-0.05;-0.55;0.38:-88.00;209.00;-214.00;0.03;0.12;0.35:
43497:-591.00;-208.00;-532.00;0.98;0.94;0.27:-146.00;-31.00;-102.00;0.24;-0.31;0.72:-375.00;203.00;218.00;0.13;-0.41;0.54:-340.00;360.00;269.00;0.29;-0.41;0.55:-279.00;167.00;152.00;-0.06;-0.55;0.38:216.00;98.00;-146.00;0.03;0.12;0.34:
43527:-1677.00;-308.00;-867.00;1.00;0.94;0.29:-469.00;14.00;-200.00;0.24;-0.31;0.72:-581.00;120.00;0.00;0.13;-0.41;0.53:-480.00;336.00;138.00;0.29;-0.41;0.54:-341.00;283.00;133.00;-0.06;-0.55;0.38:360.00;147.00;-225.00;0.03;0.12;0.34:
43557:-1953.00;-1058.00;-1758.00;1.08;0.97;0.40:-126.00;-451.00;-404.00;0.24;-0.31;0.73:-188.00;-125.00;-162.00;0.13;-0.40;0.53:-106.00;101.00;-139.00;0.29;-0.40;0.54:-218.00;123.00;-204.00;-0.07;-0.54;0.37:283.00;237.00;-412.00;0.03;0.12;0.33:
43587:1511.00;828.00;2391.00;1.14;1.00;0.52:87.00;184.00;30.00;0.23;-0.30;0.73:50.00;394.00;349.00;0.12;-0.39;0.54:108.00;234.00;50.00;0.28;-0.39;0.54:7.00;-157.00;-379.00;-0.07;-0.53;0.37:-388.00;-41.00;451.00;0.03;0.11;0.32:
43617:934.00;375.00;465.00;1.16;0.99;0.54:278.00;2311.00;1933.00;0.23;-0.30;0.73:-319.00;1463.00;1274.00;0.13;-0.40;0.53:-154.00;1213.00;906.00;0.29;-0.40;0.54:-55.00;676.00;754.00;-0.06;-0.54;0.37:-387.00;-454.00;441.00;0.03;0.12;0.32:
43647:1579.00;1032.00;1396.00;1.17;0.99;0.50:668.00;1453.00;524.00;0.23;-0.32;0.68:485.00;1006.00;525.00;0.13;-0.41;0.51:637.00;949.00;299.00;0.31;-0.42;0.52:288.00;580.00;202.00;-0.06;-0.55;0.36:-374.00;-337.00;227.00;0.03;0.12;0.33:
43677:1602.00;506.00;-346.00;1.13;1.00;0.41:478.00;-641.00;-1447.00;0.23;-0.33;0.67:369.00;-105.00;-583.00;0.14;-0.43;0.51:409.00;93.00;-391.00;0.32;-0.43;0.52:246.00;132.00;-240.00;-0.05;-0.56;0.35:-81.00;-31.00;-249.00;0.02;0.12;0.35:
43707:685.00;644.00;-474.00;1.02;0.98;0.29:-145.00;-1020.00;-1324.00;0.24;-0.34;0.69:-132.00;-447.00;-577.00;0.14;-0.43;0.52:-95.00;-233.00;-359.00;0.33;-0.43;0.53:-144.00;-222.00;-372.00;-0.04;-0.56;0.36:113.00;158.00;-260.00;0.01;0.12;0.36:
43737:-955.00;320.00;-844.00;0.92;0.95;0.19:-508.00;-555.00;-440.00;0.24;-0.35;0.71:-497.00;-254.00;-35.00;0.15;-0.43;0.53:-415.00;-60.00;60.00;0.33;-0.43;0.54:-298.00;-111.00;-12.00;-0.03;-0.56;0.37:252.00;199.00;-216.00;0.01;0.12;0.37:
43767:-1479.00;-104.00;-970.00;0.87;0.94;0.14:-261.00;-388.00;-62.00;0.25;-0.34;0.73:-194.00;-78.00;270.00;0.16;-0.43;0.54:-50.00;83.00;201.00;0.34;-0.42;0.55:-51.00;-104.00;-50.00;-0.01;-0.56;0.37:149.00;200.00;-267.00;0.01;0.11;0.38:
43797:-1624.00;-249.00;-1014.00;0.86;0.95;0.12:149.00;-484.00;135.00;0.25;-0.33;0.74:200.00;-436.00;39.00;0.16;-0.42;0.55:298.00;-367.00;-118.00;0.34;-0.42;0.56:396.00;-359.00;-320.00;-0.00;-0.56;0.38:-146.00;278.00;-494.00;0.01;0.11;0.38:
43827:-907.00;-44.00;-404.00;0.86;0.96;0.14:309.00;-844.00;-229.00;0.25;-0.33;0.76:301.00;-639.00;-238.00;0.16;-0.42;0.57:342.00;-481.00;-229.00;0.34;-0.42;0.58:377.00;-394.00;-359.00;0.00;-0.55;0.40:-204.00;247.00;-414.00;0.01;0.11;0.38:
43857:-282.00;14.00;6.00;0.86;0.97;0.16:122.00;-429.00;-148.00;0.25;-0.32;0.78:0.00;-41.00;172.00;0.17;-0.42;0.59:66.00;212.00;304.00;0.34;-0.41;0.60:3.00;74.00;81.00;0.01;-0.55;0.42:-61.00;57.00;-109.00;0.00;0.11;0.37:
43887:140.00;-132.00;-30.00;0.85;0.97;0.16:149.00;328.00;492.00;0.24;-0.32;0.80:71.00;564.00;728.00;0.17;-0.42;0.60:179.00;596.00;521.00;0.33;-0.40;0.62:105.00;266.00;258.00;0.01;-0.55;0.43:-123.00;-57.00;6.00;0.00;0.10;0.37:
43917:182.00;79.00;-1.00;0.84;0.97;0.15:5.00;480.00;402.00;0.24;-0.31;0.81:-43.00;348.00;324.00;0.17;-0.42;0.61:30.00;303.00;203.00;0.33;-0.41;0.63:21.00;-44.00;-57.00;0.02;-0.55;0.44:-237.00;-70.00;-23.00;-0.00;0.10;0.38:
43947:89.00;182.00;-13.00;0.82;0.97;0.14:134.00;81.00;42.00;0.24;-0.32;0.82:92.00;173.00;167.00;0.17;-0.42;0.61:191.00;226.00;125.00;0.34;-0.41;0.64:217.00;138.00;66.00;0.03;-0.55;0.45:-148.00;-46.00;-138.00;-0.01;0.11;0.38:
