1696237915141:g0x;g0y;g0z;a0y;a0p;a0r:g1x;g1y;g1z;a1y;a1p;a1r:g2x;g2y;g2z;a2y;a2p;a2r:g3x;g3y;g3z;a3y;a3p;a3r:g4x;g4y;g4z;a4y;a4p;a4r:g5x;g5y;g5z;a5y;a5p;a5r
19212:905.00;172.00;145.00;0.72;1.01;0.02:-483.00;1881.00;1296.00;0.06;-0.23;0.53:-874.00;1953.00;1050.00;0.08;-0.44;0.66:-576.00;1132.00;396.00;0.23;-0.41;0.87:-276.00;409.00;-93.00;-0.09;-0.53;0.45:130.00;-466.00;126.00;-0.09;0.16;0.24:
19252:-432.00;321.00;-179.00;0.69;1.01;-0.01:-111.00;75.00;-510.00;0.06;-0.23;0.52:-311.00;706.00;211.00;0.08;-0.44;0.65:-594.00;2198.00;1786.00;0.23;-0.40;0.86:126.00;326.00;272.00;-0.08;-0.53;0.46:401.00;-257.00;-84.00;-0.09;0.15;0.26:
19292:-75.00;81.00;-32.00;0.68;1.01;-0.03:-194.00;535.00;327.00;0.06;-0.23;0.52:-687.00;1343.00;898.00;0.06;-0.41;0.63:-396.00;411.00;-413.00;0.24;-0.38;0.89:-308.00;278.00;549.00;-0.02;-0.55;0.52:95.00;-85.00;27.00;-0.08;0.11;0.28:
19332:-250.00;212.00;-57.00;0.67;1.01;-0.07:-88.00;-92.00;-140.00;0.06;-0.22;0.50:55.00;-620.00;-641.00;0.05;-0.38;0.62:193.00;-2009.00;-933.00;0.28;-0.39;0.95:480.00;-1116.00;-705.00;0.06;-0.57;0.60:-176.00;399.00;-583.00;-0.07;0.10;0.29:
19372:-939.00;-78.00;-379.00;0.66;1.01;-0.09:171.00;-1173.00;-984.00;0.06;-0.22;0.49:369.00;-1502.00;-1007.00;0.06;-0.38;0.63:399.00;-1214.00;-139.00;0.31;-0.40;1.03:637.00;-272.00;175.00;0.13;-0.59;0.67:-113.00;444.00;-347.00;-0.07;0.10;0.30:
19412:-304.00;-212.00;-234.00;0.67;1.02;-0.09:228.00;-400.00;-91.00;0.06;-0.22;0.51:368.00;-509.00;-31.00;0.08;-0.38;0.68:332.00;-946.00;-212.00;0.34;-0.41;1.12:883.00;-262.00;69.00;0.17;-0.61;0.74:-348.00;206.00;-119.00;-0.07;0.10;0.29:
19452:-218.00;18.00;-108.00;0.67;1.02;-0.08:234.00;-254.00;9.00;0.06;-0.22;0.52:445.00;-778.00;-146.00;0.10;-0.40;0.73:293.00;-902.00;123.00;0.40;-0.44;1.24:836.00;-773.00;-237.00;0.22;-0.65;0.81:-352.00;249.00;-285.00;-0.08;0.12;0.29:
19492:-337.00;-50.00;-127.00;0.67;1.02;-0.06:-104.00;197.00;180.00;0.06;-0.22;0.53:-281.00;1204.00;1391.00;0.12;-0.41;0.78:-203.00;1456.00;917.00;0.42;-0.45;1.29:-1051.00;1027.00;1139.00;0.25;-0.68;0.86:115.00;-95.00;72.00;-0.09;0.13;0.29:
19532:-11.00;192.00;19.00;0.67;1.02;-0.07:-261.00;208.00;-35.00;0.06;-0.22;0.53:-325.00;600.00;564.00;0.12;-0.41;0.78:31.00;1346.00;1197.00;0.41;-0.45;1.29:-410.00;8.00;125.00;0.26;-0.69;0.86:94.00;-82.00;-231.00;-0.08;0.13;0.29:
19572:-216.00;32.00;-176.00;0.67;1.02;-0.07:-75.00;194.00;79.00;0.06;-0.22;0.52:-295.00;755.00;557.00;0.10;-0.40;0.75:-34.00;1701.00;1199.00;0.37;-0.42;1.21:-410.00;307.00;238.00;0.24;-0.68;0.83:16.00;28.00;-165.00;-0.08;0.12;0.29:
19612:-369.00;10.00;-183.00;0.67;1.02;-0.08:-33.00;-106.00;-17.00;0.06;-0.22;0.51:-5.00;-23.00;-39.00;0.08;-0.39;0.71:-24.00;710.00;-742.00;0.31;-0.39;1.03:-87.00;0.00;-48.00;0.19;-0.66;0.78:-104.00;308.00;-313.00;-0.08;0.11;0.29:
19652:-333.00;-111.00;-192.00;0.68;1.02;-0.07:121.00;-283.00;-245.00;0.06;-0.22;0.51:52.00;-224.00;-439.00;0.07;-0.38;0.66:-177.00;-206.00;-1662.00;0.25;-0.37;0.91:274.00;-51.00;-591.00;0.15;-0.64;0.74:-84.00;165.00;-121.00;-0.08;0.11;0.29:
19692:-183.00;-27.00;-158.00;0.68;1.02;-0.06:108.00;-55.00;-147.00;0.06;-0.22;0.51:53.00;119.00;-153.00;0.06;-0.38;0.64:-139.00;-195.00;-1266.00;0.23;-0.36;0.86:257.00;203.00;-216.00;0.12;-0.63;0.72:-140.00;65.00;-72.00;-0.08;0.11;0.28:
19732:-10.00;62.00;-66.00;0.68;1.02;-0.05:107.00;161.00;46.00;0.06;-0.22;0.51:-85.00;236.00;-4.00;0.05;-0.39;0.63:-341.00;627.00;97.00;0.21;-0.35;0.83:-393.00;145.00;-75.00;0.08;-0.61;0.68:-24.00;95.00;-126.00;-0.08;0.11;0.28:
19772:-438.00;68.00;-113.00;0.69;1.02;-0.05:-170.00;-218.00;-260.00;0.06;-0.22;0.51:-243.00;188.00;126.00;0.05;-0.39;0.61:-318.00;276.00;-181.00;0.17;-0.34;0.78:-366.00;-307.00;-644.00;0.05;-0.59;0.64:-1.00;185.00;-210.00;-0.07;0.11;0.28:
19812:-316.00;8.00;-84.00;0.69;1.02;-0.04:-112.00;85.00;111.00;0.06;-0.22;0.50:-191.00;288.00;193.00;0.04;-0.38;0.58:-328.00;7.00;-440.00;0.16;-0.34;0.74:-646.00;-1056.00;-1338.00;0.09;-0.58;0.65:-96.00;153.00;-102.00;-0.07;0.11;0.27:
19862:-217.00;1.00;-97.00;0.70;1.02;-0.02:105.00;-63.00;-136.00;0.07;-0.22;0.50:141.00;55.00;-143.00;0.04;-0.38;0.55:64.00;-50.00;-253.00;0.17;-0.35;0.73:223.00;258.00;241.00;0.15;-0.56;0.71:-164.00;183.00;-253.00;-0.07;0.12;0.26:
19922:-294.00;105.00;-22.00;0.72;1.01;0.00:46.00;-296.00;-39.00;0.08;-0.23;0.49:177.00;-220.00;111.00;0.03;-0.39;0.53:88.00;-376.00;42.00;0.17;-0.36;0.70:636.00;-813.00;-438.00;0.19;-0.55;0.74:-346.00;542.00;-404.00;-0.07;0.14;0.24:
19972:-13.00;-117.00;-146.00;0.76;0.99;0.03:273.00;140.00;-38.00;0.09;-0.24;0.48:49.00;428.00;-17.00;0.02;-0.39;0.49:-146.00;1084.00;256.00;0.17;-0.38;0.69:-174.00;1265.00;737.00;0.19;-0.56;0.75:194.00;-261.00;323.00;-0.07;0.17;0.22:
20012:555.00;-304.00;-398.00;0.77;0.99;0.02:139.00;901.00;368.00;0.08;-0.24;0.48:-269.00;1023.00;358.00;0.02;-0.39;0.49:-233.00;903.00;236.00;0.17;-0.39;0.69:35.00;780.00;299.00;0.20;-0.56;0.75:11.00;-307.00;90.00;-0.07;0.16;0.22:
20062:-307.00;29.00;-451.00;0.75;0.98;-0.01:41.00;191.00;-130.00;0.08;-0.24;0.48:-195.00;476.00;207.00;0.02;-0.39;0.49:-17367.00;15474.00;11824.00;-2.83;-0.39;-0.72:-426.00;1306.00;1095.00;0.19;-0.56;0.74:223.00;-172.00;88.00;-0.07;0.15;0.23:
20102:-140.00;179.00;13.00;0.74;0.99;-0.03:-344.00;448.00;263.00;0.07;-0.24;0.48:-521.00;573.00;500.00;0.01;-0.38;0.48:-25515.00;-17214.00;5338.00;-2.78;-0.36;-0.69:-147.00;520.00;221.00;0.20;-0.56;0.74:93.00;2.00;-185.00;-0.06;0.13;0.25:
20152:-655.00;121.00;-175.00;0.72;0.99;-0.06:72.00;-549.00;-408.00;0.08;-0.23;0.47:136.00;-495.00;-298.00;0.01;-0.37;0.47:104.00;-715.00;-605.00;0.15;-0.35;0.66:141.00;-1215.00;-1140.00;0.22;-0.55;0.75:-118.00;350.00;-372.00;-0.06;0.11;0.26:
20192:-496.00;-152.00;-252.00;0.72;0.99;-0.06:283.00;-615.00;-369.00;0.07;-0.23;0.47:411.00;-543.00;-262.00;0.01;-0.36;0.48:283.00;-588.00;-356.00;0.15;-0.35;0.69:589.00;-469.00;-180.00;0.26;-0.54;0.81:-238.00;240.00;-237.00;-0.06;0.11;0.26:
20232:-1720.00;-27970.00;-4495.00;2.18;-0.10;-0.39:143.00;-103.00;105.00;0.07;-0.23;0.48:165.00;-111.00;150.00;0.01;-0.37;0.49:90.00;-470.00;-292.00;0.16;-0.35;0.72:450.00;-926.00;-570.00;0.29;-0.54;0.87:-240.00;198.00;-145.00;-0.07;0.12;0.26:
20262:-142.00;37.00;-68.00;0.71;1.00;-0.05:4.00;-89.00;-20.00;0.07;-0.23;0.49:57.00;-115.00;108.00;0.01;-0.38;0.51:-146.00;-380.00;38.00;0.19;-0.37;0.77:-37.00;-52.00;765.00;0.34;-0.56;0.94:-177.00;99.00;-175.00;-0.07;0.13;0.26:
20292:-248.00;48.00;-173.00;0.71;0.99;-0.04:-378.00;431.00;236.00;0.07;-0.23;0.49:-687.00;843.00;933.00;0.02;-0.38;0.51:-588.00;1375.00;1527.00;0.19;-0.37;0.78:-472.00;668.00;787.00;0.35;-0.57;0.95:250.00;-136.00;84.00;-0.07;0.13;0.26:
20322:145.00;121.00;107.00;0.72;1.00;-0.05:-219.00;793.00;400.00;0.07;-0.23;0.48:-489.00;835.00;499.00;0.01;-0.38;0.50:-489.00;1065.00;639.00;0.19;-0.36;0.77:-521.00;1380.00;873.00;0.34;-0.56;0.95:245.00;-267.00;99.00;-0.07;0.12;0.26:
20352:-84.00;214.00;-76.00;0.71;1.00;-0.06:-135.00;283.00;-175.00;0.06;-0.23;0.48:-315.00;537.00;207.00;0.01;-0.37;0.49:-337.00;352.00;-367.00;0.18;-0.36;0.76:-276.00;286.00;-361.00;0.34;-0.55;0.94:39.00;-137.00;54.00;-0.07;0.11;0.28:
20392:3.00;200.00;-10.00;0.70;1.00;-0.08:-17.00;52.00;-187.00;0.07;-0.23;0.48:-20131.00;-17905.00;-2587.00;-2.83;-0.23;-0.68:51.00;-154.00;-205.00;0.20;-0.36;0.79:147.00;17.00;-155.00;0.37;-0.56;0.98:-4.00;39.00;-141.00;-0.07;0.10;0.29:
20432:-369.00;-47.00;-278.00;0.68;1.00;-0.11:251.00;-335.00;-131.00;0.06;-0.22;0.48:-30844.00;10954.00;-16468.00;-2.89;-0.23;-0.70:328.00;-656.00;-393.00;0.22;-0.36;0.84:416.00;-896.00;-496.00;0.41;-0.56;1.04:-229.00;246.00;-401.00;-0.07;0.09;0.31:
20482:-692.00;40.00;-177.00;0.66;1.00;-0.13:254.00;-969.00;-418.00;0.06;-0.22;0.49:439.00;-985.00;-351.00;0.01;-0.37;0.51:316.00;-988.00;417.00;0.25;-0.37;0.93:954.00;-1500.00;149.00;0.48;-0.59;1.16:-384.00;487.00;-507.00;-0.08;0.11;0.30:
20532:-377.00;-83.00;-184.00;0.67;1.00;-0.10:-546.00;452.00;337.00;0.06;-0.23;0.50:-887.00;913.00;866.00;0.01;-0.38;0.52:-787.00;1107.00;935.00;0.26;-0.38;0.95:-521.00;640.00;530.00;0.51;-0.61;1.19:222.00;-150.00;127.00;-0.08;0.11;0.29:
20583:-184.00;364.00;76.00;0.68;1.00;-0.10:-183.00;-48.00;-450.00;0.06;-0.23;0.50:-12.00;-66.00;-275.00;0.02;-0.37;0.52:-44.00;3.00;-215.00;0.26;-0.37;0.93:-97.00;483.00;-31.00;0.48;-0.59;1.16:-24.00;45.00;-215.00;-0.07;0.11;0.30:
20623:-279.00;-10.00;-246.00;0.69;1.01;-0.10:146.00;-36.00;-14.00;0.06;-0.22;0.50:25391.00;-9456.00;18587.00;-0.83;-0.33;-0.64:-210.00;211.00;180.00;0.25;-0.37;0.93:213.00;738.00;327.00;0.47;-0.59;1.14:-145.00;49.00;6.00;-0.07;0.11;0.30:
20672:87.00;69.00;51.00;0.69;1.01;-0.10:-141.00;248.00;115.00;0.07;-0.23;0.50:-188.00;100.00;-41.00;0.03;-0.37;0.52:-344.00;-139.00;-654.00;0.25;-0.36;0.90:129.00;917.00;-288.00;0.42;-0.60;1.04:43.00;64.00;-52.00;-0.06;0.11;0.30:
20713:-267.00;-47.00;-240.00;0.69;1.01;-0.12:81.00;-378.00;-407.00;0.08;-0.23;0.50:414.00;-536.00;-360.00;0.05;-0.38;0.53:340.00;-1117.00;-997.00;0.26;-0.36;0.93:719.00;-491.00;-1190.00;0.36;-0.61;0.94:-180.00;239.00;-369.00;-0.06;0.11;0.31:
20763:-515.00;-351.00;-577.00;0.69;1.02;-0.12:753.00;-598.00;-60.00;0.08;-0.22;0.52:638.00;-514.00;69.00;0.06;-0.39;0.58:531.00;-110.00;500.00;0.27;-0.35;1.01:661.00;172.00;-340.00;0.27;-0.62;0.85:-469.00;339.00;-307.00;-0.07;0.11;0.30:
20803:-95.00;-178.00;-205.00;0.69;1.02;-0.10:290.00;-490.00;-226.00;0.08;-0.22;0.54:-65.00;132.00;533.00;0.07;-0.40;0.62:-35.00;1399.00;1418.00;0.28;-0.36;1.05:-233.00;271.00;-691.00;0.15;-0.63;0.77:47.00;-42.00;99.00;-0.08;0.13;0.29:
20843:9.00;-9.00;-48.00;0.69;1.01;-0.08:-560.00;1306.00;1046.00;0.07;-0.22;0.56:-937.00;1233.00;1009.00;0.07;-0.40;0.63:-865.00;1062.00;509.00;0.28;-0.35;1.04:-1358.00;333.00;-617.00;0.08;-0.64;0.71:277.00;-314.00;74.00;-0.08;0.13;0.29:
